iter	Passed	Remaining
0	59	59516
1	59	29852
2	60	19954
3	60	15024
4	60	12055
5	60	10071
6	61	8654
7	61	7590
8	61	6762
9	61	6100
10	61	5558
11	62	5107
12	62	4725
13	62	4396
14	62	4112
15	62	3863
16	63	3644
17	63	3449
18	63	3277
19	63	3120
20	63	2978
21	64	2849
22	64	2731
23	64	2623
24	64	2524
25	64	2433
26	65	2348
27	65	2269
28	65	2195
29	65	2127
30	65	2062
31	66	2002
32	66	1945
33	66	1891
34	66	1841
35	67	1794
36	67	1749
37	67	1707
38	67	1666
39	67	1627
40	68	1591
41	68	1556
42	68	1522
43	68	1491
44	68	1460
45	69	1431
46	69	1403
47	69	1377
48	69	1351
49	69	1326
50	70	1303
51	70	1284
52	70	1263
53	70	1242
54	71	1222
55	71	1202
56	71	1184
57	71	1166
58	72	1148
59	72	1131
60	72	1116
61	72	1100
62	72	1084
63	73	1069
64	73	1054
65	73	1040
66	73	1026
67	73	1013
68	74	1000
69	74	987
70	74	975
71	74	963
72	74	951
73	75	940
74	75	929
75	75	918
76	75	908
77	76	898
78	76	888
79	76	879
80	76	869
81	76	860
82	76	849
83	77	840
84	77	832
85	77	824
86	77	815
87	77	807
88	78	799
89	78	792
90	78	784
91	78	776
92	78	769
93	79	762
94	79	755
95	79	748
96	79	741
97	79	735
98	80	728
99	80	722
100	80	716
101	80	710
102	80	704
103	81	698
104	81	692
105	81	687
106	81	681
107	81	676
108	82	671
109	82	666
110	82	661
111	82	656
112	82	651
113	83	646
114	83	642
115	83	639
116	84	635
117	84	631
118	84	627
119	85	623
120	85	619
121	85	614
122	85	611
123	86	607
124	86	603
125	86	599
126	86	595
127	86	591
128	87	588
129	87	584
130	87	580
131	87	578
132	88	574
133	88	571
134	88	568
135	89	565
136	89	562
137	89	559
138	89	556
139	90	553
140	90	550
141	90	546
142	90	542
143	90	539
144	90	536
145	91	533
146	91	530
147	91	527
148	91	524
149	92	521
150	92	518
151	92	515
152	92	513
153	92	510
154	93	507
155	93	504
156	93	502
157	93	499
158	93	496
159	94	494
160	94	491
161	94	488
162	94	486
163	94	484
164	95	481
165	95	479
166	95	476
167	95	474
168	96	472
169	96	469
170	96	467
171	96	465
172	96	462
173	97	460
174	97	458
175	97	456
176	97	453
177	97	451
178	98	449
179	98	447
180	98	445
181	98	443
182	98	440
183	98	438
184	99	436
185	99	435
186	99	433
187	99	431
188	99	429
189	100	427
190	100	425
191	100	423
192	100	421
193	100	419
194	101	417
195	101	415
196	101	413
197	101	412
198	101	410
199	102	408
200	102	407
201	102	406
202	103	405
203	103	403
204	103	401
205	103	399
206	103	398
207	104	396
208	104	394
209	104	393
210	104	391
211	104	389
212	105	388
213	105	386
214	105	385
215	105	383
216	105	382
217	106	380
218	106	379
219	106	377
220	106	376
221	107	375
222	107	373
223	107	372
224	107	370
225	107	369
226	108	367
227	108	366
228	108	364
229	108	363
230	108	362
231	108	360
232	109	359
233	109	357
234	109	356
235	109	355
236	109	353
237	110	352
238	110	351
239	110	350
240	110	349
241	111	347
242	111	346
243	111	345
244	111	343
245	111	342
246	111	341
247	112	340
248	112	338
249	112	337
250	112	336
251	112	335
252	113	334
253	113	333
254	113	332
255	113	330
256	114	329
257	114	328
258	114	327
259	114	326
260	114	325
261	115	324
262	115	323
263	115	321
264	115	320
265	115	319
266	116	318
267	116	317
268	116	316
269	116	315
270	116	314
271	117	313
272	117	312
273	117	311
274	117	310
275	117	309
276	118	308
277	118	307
278	118	306
279	118	305
280	118	304
281	119	303
282	119	302
283	119	301
284	119	300
285	119	299
286	120	298
287	120	297
288	120	296
289	120	295
290	120	294
291	121	293
292	121	292
293	121	291
294	121	290
295	121	289
296	121	288
297	122	287
298	122	286
299	122	286
300	122	285
301	122	284
302	123	283
303	123	282
